stt,GSA1,GSA2,GSA3,GSA4,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,MA1,MA2,MA3,MA4,MA5,VA1,VA2,VA3,VA4,FE1,FE2,FE3,PE1,PE2,PE3
170,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1
171,5,4,4,3,2,3,3,3,1,1,2,3,5,5,3,3,4,5,4,4,4,3,2,2,4,4,4
172,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5
173,5,5,4,5,4,4,5,5,4,2,2,2,4,5,5,4,5,5,4,5,4,5,5,4,5,4,4
174,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5
175,4,4,3,4,4,5,4,5,4,4,5,4,4,5,4,5,4,3,4,4,4,4,3,4,3,3,3
176,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,4,4,3,3,3,3
177,4,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
178,3,4,3,4,1,2,2,3,2,3,3,2,3,4,3,4,4,3,3,3,4,3,3,4,3,3,3
179,4,4,5,4,5,4,5,5,5,4,5,5,4,5,4,4,5,5,4,4,5,5,4,5,4,4,5
180,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
181,4,4,4,4,1,1,1,2,2,2,3,2,5,5,5,5,5,5,5,4,4,4,3,2,2,4,3
182,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
183,4,4,2,3,1,1,1,1,1,1,2,2,4,4,3,4,4,3,4,4,4,2,1,2,3,3,3
184,3,3,3,4,4,3,3,4,3,3,4,4,3,4,4,3,3,4,3,2,2,3,3,3,3,3,3
185,4,3,3,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3
186,4,4,4,3,1,1,1,1,1,1,3,3,4,4,4,4,3,3,3,3,4,3,2,3,3,3,3
187,3,4,4,4,2,4,4,4,2,2,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
188,4,4,4,4,1,1,1,1,1,1,2,2,3,3,3,2,3,4,4,3,3,2,2,2,2,2,2
189,1,2,2,4,1,1,3,3,1,1,1,1,5,5,4,5,5,4,5,5,5,3,1,1,2,2,2
190,3,4,2,2,3,3,3,3,4,3,3,3,4,4,5,4,4,5,5,5,5,3,3,3,4,4,3
191,4,3,4,4,3,4,4,4,4,5,3,4,4,4,5,3,4,5,5,4,4,4,4,3,4,5,4
192,4,5,4,5,5,4,3,3,3,4,5,5,4,5,4,4,5,5,5,4,5,5,5,5,4,5,5
193,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,3,4,4,4,3,3,4,3,4
194,5,4,4,3,3,4,5,5,5,4,3,2,4,5,4,3,5,5,5,4,4,3,3,5,4,3,3
195,5,5,5,5,5,5,3,3,3,3,3,3,5,5,3,4,5,5,5,3,3,3,5,5,5,5,4
196,3,4,4,3,3,4,4,4,2,2,3,2,3,4,4,4,5,5,5,4,4,3,2,3,4,3,4
197,3,5,5,5,3,3,3,3,4,4,4,3,5,4,3,3,3,5,5,5,5,5,4,3,4,4,5
198,4,4,3,4,5,4,4,5,3,4,4,4,5,5,5,5,4,4,3,4,3,4,4,5,4,4,3
199,4,4,4,4,3,3,3,3,3,4,4,3,3,5,5,4,4,4,4,4,4,4,4,3,5,5,5
200,4,5,4,4,2,2,2,3,3,3,4,4,5,4,4,3,3,5,3,4,4,3,2,2,3,3,3
201,5,4,5,5,3,4,5,5,2,3,4,3,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5
202,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4
203,5,5,5,4,5,5,4,3,5,4,4,5,5,5,5,5,5,5,5,5,3,5,4,5,5,4,5
204,4,5,3,4,4,4,5,4,4,3,4,4,5,5,5,5,4,4,4,5,5,4,5,4,4,4,5
205,3,5,5,3,3,3,3,4,4,3,4,5,5,5,4,4,3,4,5,5,5,4,3,4,5,3,4
206,4,3,4,4,2,2,2,2,3,2,3,3,4,4,3,3,3,5,5,4,3,3,3,3,3,3,3
207,3,4,4,3,4,3,2,2,3,3,2,2,4,4,4,5,5,5,5,5,5,3,3,2,2,2,2
208,3,3,3,3,2,2,2,2,2,2,3,2,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
209,3,3,4,2,2,5,5,4,4,5,4,3,5,5,4,4,5,4,3,5,5,5,4,4,2,2,3
210,4,5,4,4,3,3,2,2,1,1,3,1,5,4,4,3,3,5,4,5,5,4,3,5,2,2,2
211,4,5,3,3,5,5,5,3,4,4,4,5,4,3,4,5,5,5,5,5,5,5,5,3,5,5,5
212,4,3,4,4,3,2,3,3,4,2,3,3,5,3,4,5,4,5,3,4,4,3,1,2,3,3,3
213,5,4,4,5,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,5,4,4,5,4,4,4,4
214,3,3,4,4,4,4,3,3,4,4,3,3,5,5,4,4,4,5,5,5,5,4,4,2,3,4,4
215,2,3,4,3,2,3,3,3,3,3,3,4,4,4,4,4,5,4,4,5,5,3,2,2,3,3,4
216,4,3,4,4,4,3,3,4,3,4,4,4,3,4,3,4,3,4,3,4,4,4,3,4,4,3,4
217,3,4,3,3,2,3,3,4,3,3,4,3,3,4,4,3,3,5,4,5,5,3,4,3,3,4,3
218,4,4,3,4,3,3,4,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,3,4,3,3,3
219,5,4,3,4,4,4,3,4,5,3,4,3,5,5,5,5,4,4,5,4,5,5,5,4,3,4,4
220,4,4,5,4,5,4,5,4,3,4,5,4,4,5,4,4,3,4,3,4,5,4,5,4,4,3,4
221,4,3,4,4,2,3,2,2,3,3,4,3,5,4,5,4,5,5,5,4,4,4,4,4,4,4,4
